a			ʌ
a(1)			ejˈ
a's			ejˈz
a.			ejˈ
a.'s			ejˈz
a.s			ejˈz
a42128			ejˈfɔˈɹtuˈwʌˈntuˈejˈt
aaa			tɹɪˌpʌlejˈ
aaberg			ɑˈbɜɹg
aachen			ɑˈkʌn
aachener		ɑˈkʌnɜɹ
aaker			ɑˈkɜɹ
aalseth			ɑˈlsɛθ
aamodt			ɑˈmʌt
aancor			ɑˈnkɔˌɹ
aardema			ɑɹdɛˈmʌ
aardvark		ɑˈɹdvɑˌɹk
aaron			ɛˈɹʌn
aaron's			ɛˈɹʌnz
aarons			ɛˈɹʌnz
aaronson		ɛˈɹʌnsʌn
aaronson(1)		ɑˈɹʌnsʌn
aaronson's		ɛˈɹʌnsʌnz
aaronson's(1)		ɑˈɹʌnsʌnz
aarti			ɑˈɹtiˌ
aase			ɑˈs
aasen			ɑˈsʌn
ab			æˈb
ab(1)			ejˈbiˈ
ababa			ʌbɑˈbʌ
ababa(1)		ɑˈbʌbʌ
abacha			æˈbʌkʌ
aback			ʌbæˈk
abaco			æˈbʌkowˌ
abacus			æˈbʌkʌs
abad			ʌbɑˈd
abadaka			ʌbæˈdʌkʌ
abadi			ʌbæˈdi
abadie			ʌbæˈdi
abair			ʌbɛˈɹ
abalkin			ʌbɑˈlkɪn
abalone			æˌbʌlowˈni
abalos			ɑbɑˈlowz
abandon			ʌbæˈndʌn
abandoned		ʌbæˈndʌnd
abandoning		ʌbæˈndʌnɪŋ
abandonment		ʌbæˈndʌnmʌnt
abandonments		ʌbæˈndʌnmʌnts
abandons		ʌbæˈndʌnz
abanto			ʌbæˈntow
abarca			ʌbɑˈɹkʌ
abare			ɑbɑˈɹi
abascal			æˈbʌskʌl
abash			ʌbæˈʃ
abashed			ʌbæˈʃt
abasia			ʌbejˈʒjʌ
abate			ʌbejˈt
abated			ʌbejˈtɪd
abatement		ʌbejˈtmʌnt
abatements		ʌbejˈtmʌnts
abates			ʌbejˈts
abating		ʌbejˈtɪŋ
abba			æˈbʌ
abbado			ʌbɑˈdow
abbas			ʌbɑˈs
abbasi			ɑbɑˈsi
abbate			ɑˈbejt
abbatiello		ɑbɑtiɛˈlow
abbe			æˈbi
abbe(1)		æbejˈ
abbenhaus		æˈbʌnhawˌs
abbett			ʌbɛˈt
abbeville		æˈbvɪl
abbey			æˈbi
abbey's		æˈbiz
abbie			æˈbi
abbitt			æˈbɪt
abbot			æˈbʌt
abbotstown		æˈbʌtstawˈn
abbott			æˈbʌt
abbott's		æˈbʌts
abbottstown		æˈbʌtstawˈn
abboud			ʌbuˈd
abboud(1)		ʌbawˈd
abbreviate		ʌbɹiˈviejˌt
abbreviated		ʌbɹiˈviejˌtʌd
abbreviated(1)		ʌbɹiˈviejˌtɪd
abbreviates		ʌbɹiˈviejˌts
abbreviating		ʌbɹiˈviejˌtɪŋ
abbreviation		ʌbɹiˌviejˈʃʌn
abbreviations		ʌbɹiˌviejˈʃʌnz
abbruzzese		ɑbɹutsejˈzi
abbs			æˈbz
abby			æˈbi
abco			æˈbkow
abcotek		æˈbkowtɛˌk
abdalla		æˌbdæˈlʌ
abdallah		æˌbdæˈlʌ
abdel			æˈbdɛˌl
abdella		æˌbdɛˈlʌ
abdicate		æˈbdʌkejˌt
abdicated		æˈbdʌkejˌtʌd
abdicates		æˈbdʌkejˌts
abdicating		æˈbdɪkejˌtɪŋ
abdication		æˌbdɪkejˈʃʌn
abdnor			æˈbdnɜɹ
abdo			æˈbdow
abdollah		æˌbdɑˈlʌ
abdomen		æbdowˈmʌn
abdomen(1)		æˈbdʌmʌn
abdominal		æbdɑˈmʌnʌl
abdominal(1)		ʌbdɑˈmʌnʌl
abduct			æbdʌˈkt
abducted		æbdʌˈktɪd
abducted(1)		ʌbdʌˈktɪd
abductee		æbdʌˌktiˈ
abductees		æbdʌˌktiˈz
abducting		æbdʌˈktɪŋ
abducting(1)		ʌbdʌˈktɪŋ
abduction		æbdʌˈkʃʌn
abduction(1)		ʌbdʌˈkʃʌn
abductions		æbdʌˈkʃʌnz
abductions(1)		ʌbdʌˈkʃʌnz
abductor		æbdʌˈktɜɹ
abductor(1)		ʌbdʌˈktɜɹ
abductors		æbdʌˈktɜɹz
abductors(1)		ʌbdʌˈktɜɹz
abducts		æbdʌˈkts
abdul			æbduˈl
abdulaziz		æbduˌlʌziˈz
abdulla		ɑbduˈlʌ
abdullah		æˌbdʌˈlʌ
abe			ejˈb
abed			ʌbɛˈd
abedi			ʌbɛˈdi
abee			ʌbiˈ
abel			ejˈbʌl
abela			ɑbɛˈlʌ
abelard		æˈbɪlɜɹd
abele			ʌbiˈl
abeles			ʌbiˈlz
abeles(1)		ejˈbʌliˌz
abell			ejˈbʌl
abella			ʌbɛˈlʌ
abeln			æˈbɪln
abelow			æˈbʌlow
abels			ejˈbʌlz
abelson		æˈbɪlsʌn
abend			æˈbɛnd
abend(1)		ʌbɛˈnd
abendroth		æˈbɪndɹɔθ
aber			ejˈbɜɹ
abercrombie		æˌbɜɹkɹɑˈmbi
aberdeen		æˈbɜɹdiˌn
aberford		ejˈbɜɹfɜɹd
aberg			æˈbɜɹg
aberle			æˈbɜɹʌl
aberle(1)		æˈbɜɹl
abermin		æˈbɜɹmɪn
abernathy		æˈbɜɹnæˌθi
abernethy		æˈbɜɹnɛˌθi
aberrant		æbɛˈɹʌnt
aberration		æˌbɜɹejˈʃʌn
aberrational		æˌbɜɹejˈʃʌnʌl
aberrations		æˌbɜɹejˈʃʌnz
abert			æˈbɜɹt
abet			ʌbɛˈt
abetted		ʌbɛˈtɪd
abetting		ʌbɛˈtɪŋ
abex			ejˈbɛks
abeyance		ʌbejˈʌns
abeyta			ɑbejˈtʌ
abhor			æbhɔˈɹ
abhorred		ʌbhɔˈɹd
abhorrence		ʌbhɔˈɹʌns
abhorrent		æbhɔˈɹʌnt
abhors			ʌbhɔˈɹz
abiam			ejˈbiʌm
abiam's		ejˈbiʌmz
abid			ejˈbɪd
abide			ʌbajˈd
abided			ʌbajˈdɪd
abides			ʌbajˈdz
abiding		ʌbajˈdɪŋ
abidjan		æbɪdʒɑˈn
abie			æˈbi
abigail		æˈbʌgejˌl
abila			ɑbiˈlʌ
abilene		æˈbɪliˌn
abilities		ʌbɪˈlʌtiz
ability		ʌbɪˈlʌti
abimael		æbɪmejˈl
abimaels		æbɪmejˈlz
abingdon		æˈbɪŋdʌn
abington		æˈbɪŋtʌn
abio			ɑˈbiow
abiola			ɑˌbiowˈlʌ
abiola's		ɑˌbiowˈlʌz
abiomed		ejbiˈʌmɛd
abiquiu		ʌbɪˈkju
abitibi		æˌbɪtiˈbi
abitz			æˈbɪts
abject			æˈbdʒɛkt
abkhazia		æbkɑˈzjʌ
abkhazia(1)		æbkæˈzjʌ
abkhazian		æbkɑˈziʌn
abkhazian(1)		æbkæˈziʌn
abkhazian(2)		æbkɑˈzjʌn
abkhazian(3)		æbkæˈzjʌn
abkhazians		æbkɑˈziʌnz
abkhazians(1)		æbkæˈziʌnz
ablaze			ʌblejˈz
able			ejˈbʌl
able-bodied		ejˈbʌlbɑˈdid
abled			ejˈbʌld
abler			ejˈbʌlɜɹ
abler(1)		ejˈblɜɹ
